classification,corner_near_white,edge_near_white,edge_strict_white,edge_transparent,file_path,has_alpha,height,image_id,is_main,overall_near_white,product_id,sort_order,width
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396a0deb4.jpg,False,540,1993,0,0.63782,1202,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396a0e616.jpg,False,540,1994,0,0.75032,1202,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396ab1530.jpg,False,540,1995,1,0.79576,1203,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396ab1c48.jpg,False,540,1996,0,0.63782,1203,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396ab21c9.jpg,False,540,1997,0,0.75032,1203,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396b60f73.jpg,False,540,1998,1,0.79576,1204,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396b61585.jpg,False,540,1999,0,0.63782,1204,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396b61bd6.jpg,False,540,2000,0,0.75032,1204,6,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396db3e90.jpg,False,540,2001,1,0.76337,1205,1,540
review_white,1.0,0.8971,0.8871,0.0,p_6a1e396db448a.jpg,False,540,2002,0,0.66101,1205,3,540
review_white,1.0,0.81846,0.78125,0.0,p_6a1e396db4a9c.jpg,False,540,2003,0,0.37722,1205,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396e62672.jpg,False,540,2004,1,0.79576,1206,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396e62bbe.jpg,False,540,2005,0,0.63782,1206,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396e631aa.jpg,False,540,2006,0,0.75032,1206,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e396f15f53.jpg,False,540,2007,1,0.79576,1207,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e396f166e7.jpg,False,540,2008,0,0.63782,1207,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e396f16ea1.jpg,False,540,2009,0,0.75032,1207,6,540
clean_white,1.0,0.97246,0.93515,0.0,p_6a1e39712cc28.jpg,False,540,2010,1,0.50531,1208,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39712d212.jpg,False,540,2011,0,0.61519,1208,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39712d77b.jpg,False,540,2012,0,0.72633,1208,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e3971d0069.jpg,False,540,2013,1,0.79576,1209,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e3971d0580.jpg,False,540,2014,0,0.63782,1209,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e3971d0a8d.jpg,False,540,2015,0,0.75032,1209,6,540
clean_white,1.0,0.99184,0.99077,0.0,p_6a1e39727edce.jpg,False,540,2016,1,0.79576,1210,1,540
clean_white,1.0,0.99169,0.99114,0.0,p_6a1e397280b64.jpg,False,540,2017,0,0.63782,1210,3,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397281137.jpg,False,540,2018,0,0.75032,1210,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39743d66e.jpg,False,540,2019,1,0.52382,1211,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39743dcb8.jpg,False,540,2020,0,0.63819,1211,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e39743e3c3.jpg,False,540,2021,0,0.55247,1211,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e397649b49.jpg,False,540,2022,1,0.52382,1213,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39764a1d2.jpg,False,540,2023,0,0.63819,1213,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e39764a85f.jpg,False,540,2024,0,0.55247,1213,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39775276c.jpg,False,540,2025,1,0.52382,1214,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e397752d5a.jpg,False,540,2026,0,0.63819,1214,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e3977532ba.jpg,False,540,2027,0,0.55247,1214,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39785a076.jpg,False,540,2028,1,0.52382,1215,1,540
clean_white,1.0,1.0,1.0,0.0,p_6a1e39785a819.jpg,False,540,2029,0,0.63819,1215,3,540
review_white,1.0,0.89993,0.89853,0.0,p_6a1e39785aefe.jpg,False,540,2030,0,0.55247,1215,6,540
clean_white,1.0,0.93721,0.93643,0.0,p_6a1e39795fee3.jpg,False,540,2031,1,0.52382,1216,1,540
